timestamp,tracking_state,num_features,tx,ty,tz,qx,qy,qz,qw
1785942434.864123821,2,1004,-0.745830119,-0.504123032,-0.021932676,0.002117392,-0.008827589,-0.233847812,0.972230852
1785942434.963587761,2,1005,-0.751592338,-0.509324074,-0.012271052,-0.002528235,-0.002922641,-0.235488474,0.971869469
1785942435.076261044,2,1004,-0.754957914,-0.510098219,-0.003790516,-0.004318097,0.002994573,-0.236727729,0.971561849
1785942435.174257994,2,1003,-0.760344386,-0.513034821,0.002416392,-0.005583034,0.007613809,-0.237613618,0.971313894
1785942435.274455309,2,1004,-0.768557250,-0.517890811,0.004513089,-0.005568228,0.009576504,-0.238040656,0.971192062
1785942435.387076139,2,1005,-0.774767339,-0.523710728,-0.000243772,-0.004057773,0.006524669,-0.238369003,0.971144259
1785942435.462008238,2,1005,-0.781934559,-0.526352167,-0.009565085,-0.000324707,0.001835665,-0.238392517,0.971167088
1785942435.572508812,2,1004,-0.788753927,-0.528644681,-0.019647742,0.002873393,-0.003346556,-0.238848835,0.971046746
1785942435.689190865,2,1004,-0.791278303,-0.530784845,-0.027901888,0.004575260,-0.008458857,-0.239836991,0.970765531
1785942435.775760412,2,1004,-0.793192327,-0.534952581,-0.029379601,0.003136210,-0.010521294,-0.240998149,0.970463514
1785942435.862550259,2,1005,-0.797147214,-0.535215139,-0.024557918,0.001212461,-0.007663675,-0.242286131,0.970173836
1785942435.986657619,2,1007,-0.799364984,-0.538413405,-0.016198380,-0.002532512,-0.003729607,-0.243386522,0.969918966
1785942436.073279858,2,1009,-0.803371966,-0.539098442,-0.007500461,-0.004513149,0.001298011,-0.244283020,0.969692588
1785942436.172797441,2,1006,-0.810214579,-0.542550802,-0.000995500,-0.005942790,0.005507946,-0.244686946,0.969568312
1785942436.262260675,2,1003,-0.817988098,-0.546680629,0.001134206,-0.004983559,0.007092733,-0.244484469,0.969614506
1785942436.385912418,2,1003,-0.823947847,-0.552610695,-0.004033117,-0.003327149,0.004688391,-0.244338259,0.969673038
1785942436.462577343,2,1009,-0.826705456,-0.553719819,-0.015219624,0.001404554,-0.000518141,-0.244118065,0.969744384
1785942436.562422514,2,1007,-0.833481789,-0.558259964,-0.022511989,0.003018425,-0.004566087,-0.244502142,0.969633281
1785942436.669866562,2,1003,-0.838176787,-0.557377756,-0.028947037,0.005301387,-0.007322753,-0.245211720,0.969427407
1785942436.760449886,2,1003,-0.839589477,-0.557756603,-0.030404098,0.005144127,-0.008931049,-0.246028915,0.969207704
1785942436.870836735,2,1006,-0.843290448,-0.559093893,-0.025343074,0.002954471,-0.006752993,-0.246711493,0.969060957
1785942436.989148378,2,1005,-0.848239779,-0.565036774,-0.015611872,-0.001615979,-0.002792651,-0.247314379,0.968929946
1785942437.059256315,2,1006,-0.852844000,-0.567566156,-0.007914968,-0.003785798,0.001644248,-0.247898504,0.968777239
1785942437.160495281,2,1007,-0.856719911,-0.571830630,-0.002984856,-0.004731223,0.004478388,-0.248014227,0.968734503
1785942437.260632753,2,1003,-0.863745153,-0.575176179,-0.002687898,-0.003637837,0.006165874,-0.248093620,0.968709648
1785942437.359287262,2,1005,-0.869212031,-0.578675926,-0.007468261,-0.000635993,0.004652097,-0.247319713,0.968922555
1785942437.459403992,2,1008,-0.876614451,-0.584196091,-0.014542633,0.001022852,0.001461006,-0.246991172,0.969016075
1785942437.559456825,2,1005,-0.879213274,-0.587818801,-0.024045773,0.003202308,-0.004182749,-0.246753395,0.969063997
1785942437.682836294,2,1006,-0.885397315,-0.592154086,-0.028299997,0.002606114,-0.007111915,-0.247005612,0.968984425
1785942437.784063578,2,1002,-0.886999309,-0.589523256,-0.031845640,0.004097312,-0.008966943,-0.247628778,0.968804836
1785942437.860466480,2,1009,-0.888758242,-0.596421599,-0.026541574,0.000057351,-0.008591449,-0.247961834,0.968731761
1785942437.984626770,2,1005,-0.892200530,-0.594770133,-0.019652262,-0.000872083,-0.004447165,-0.248586535,0.968599081
1785942438.070117235,2,1002,-0.896130860,-0.601491392,-0.008608854,-0.004985164,0.000024665,-0.248901337,0.968516052
1785942438.159393072,2,1006,-0.901870787,-0.604068696,-0.001154511,-0.005691884,0.005063138,-0.248822585,0.968519151
1785942438.272390366,2,1003,-0.908735394,-0.606547832,0.000362267,-0.004488686,0.008162564,-0.248379394,0.968618035
1785942438.361103296,2,1004,-0.914035082,-0.612963915,-0.004269294,-0.003018571,0.006778330,-0.247571439,0.968841255
1785942438.472639322,2,1006,-0.919789612,-0.615511298,-0.014590873,0.000794655,0.002715123,-0.246903181,0.969036043
1785942438.583749056,2,1003,-0.924788952,-0.618491828,-0.026379513,0.003861420,-0.003054574,-0.246356100,0.969166875
1785942438.672414303,2,1007,-0.928253710,-0.622393668,-0.035112809,0.004942740,-0.008913807,-0.246030346,0.969208539
1785942438.762727976,2,1005,-0.931581199,-0.624073029,-0.037396397,0.004896801,-0.011740700,-0.245854318,0.969223320
1785942438.859616280,2,1005,-0.933696985,-0.623361051,-0.034403604,0.003458018,-0.011323845,-0.246642560,0.969034195
1785942438.960341692,2,1004,-0.933967769,-0.624908745,-0.025343044,0.000580160,-0.008148996,-0.247166038,0.968938708
1785942439.084602833,2,1009,-0.935027957,-0.627785742,-0.012908302,-0.002155916,-0.002402255,-0.247375906,0.968914211
1785942439.161259890,2,1002,-0.941974819,-0.637040734,0.001638357,-0.006551467,0.004785639,-0.247413948,0.968875945
1785942439.272130489,2,1006,-0.949448705,-0.640213728,0.006653010,-0.005310475,0.010488689,-0.246838495,0.968985319
1785942439.361111879,2,1004,-0.955770731,-0.647639394,0.003659584,-0.003449917,0.010661338,-0.245703161,0.969280362
1785942439.503281355,2,1006,-0.960895002,-0.652885914,-0.009148193,0.001000060,0.006528752,-0.244191661,0.969704509
1785942439.586429119,2,1011,-0.969154298,-0.662331939,-0.020893566,0.002428564,0.000613068,-0.243129611,0.969990611
1785942439.674480677,2,1006,-0.971947074,-0.661840975,-0.035731297,0.006475165,-0.006969668,-0.243077546,0.969960213
1785942439.760218382,2,1006,-0.972796082,-0.662788868,-0.043115642,0.007241148,-0.011842113,-0.243128568,0.969894767
1785942439.874533176,2,1007,-0.973786831,-0.662287056,-0.041042823,0.005725878,-0.012117944,-0.243729591,0.969750643
1785942439.959703207,2,1004,-0.974795580,-0.664309025,-0.029157154,0.001723965,-0.008348608,-0.244348764,0.969649971
1785942440.072124720,2,1002,-0.976474345,-0.672457993,-0.012092236,-0.004947759,-0.002377510,-0.244573563,0.969615221
